v_norm,a_0,w_s_eff,t_0,alpha_gain,beta_val
1.5028,1.065304,0.40814722,0.17228176,0.57724625,-0.99933994
1.0858716,1.7579498,1.0791335,0.28398022,0.5117685,-0.97381425
0.5746111,1.0127798,1.189382,0.22077711,0.9948376,0.82559407
0.6501896,1.1360044,0.8536456,0.4736278,0.65603656,0.5628381
0.35847792,1.4091691,1.1489702,0.16174245,0.6097768,0.3205385
1.5075089,1.5004848,0.72957194,0.4962865,0.8885789,-0.1748645
0.77302384,1.4560378,1.1842713,0.22707556,0.6656436,-0.5033527
1.3406917,0.8562233,0.6714732,0.32240072,0.50859463,-0.40449914
1.0509619,1.1631159,0.5161108,0.4617078,0.8576031,-0.7990554
1.150466,0.9663054,1.0505702,0.36321652,0.5887194,-0.42573568
0.5061798,1.0113283,1.1574333,0.40149713,0.6826071,0.017262386
0.3005877,0.96380097,0.5048227,0.48383114,0.7593722,-0.074318625
0.17512739,0.8303814,1.1632996,0.16970022,0.6253642,-0.08529038
1.1831579,0.98728114,0.3785109,0.46531567,0.5425734,0.57790446
0.39242974,1.1006136,0.578111,0.14734496,0.86314356,0.55335915
0.4411338,1.571124,0.66260034,0.35316253,0.89016753,-0.09892942
1.0853937,0.8857474,1.0027795,0.13933259,0.86591816,-0.55585074
0.5347497,1.0680082,1.131793,0.16026466,0.9066663,-0.5116666
0.16976394,1.2695253,0.63915867,0.28106123,0.87951577,0.6105189
1.2075627,0.8651812,0.64155644,0.3062374,0.6346365,0.40473068
0.10643128,0.8825517,0.47188085,0.19689994,0.85649294,-0.2262841
0.83777076,1.2686915,0.35266727,0.36599725,0.52743965,-0.018584786
0.2577778,1.1768318,1.0615169,0.38691443,0.96203274,0.81223136
0.36749613,1.175954,0.5242127,0.32994774,0.89918536,0.33688715
1.2712014,1.0376685,0.9638539,0.14824079,0.52726114,-0.23391548
0.6735529,0.9712104,1.0802141,0.15742801,0.53284,-0.31884056
0.42142144,0.9642002,1.1391258,0.114089966,0.5601678,-0.4270722
1.0465977,0.9955971,0.889217,0.13400719,0.90760845,0.022864891
0.40816507,1.4389313,0.5386342,0.3055526,0.7310935,-0.057125095
0.49293384,1.2835757,0.46237662,0.11356099,0.8666301,-0.7495092
1.363148,1.215997,1.0982431,0.37123096,0.8081627,-0.18365103
1.0792515,0.9375284,0.8580548,0.41305447,0.57165545,0.33171493
0.994232,1.6007692,0.98918897,0.24065222,0.9653872,0.692869
1.5789367,0.9210011,0.98980784,0.3527063,0.94271964,-0.3109754
0.26584846,1.507934,1.1741109,0.2529568,0.65914637,-0.38987026
1.2430209,0.9359685,0.40223062,0.34629637,0.9678958,0.92984813
0.951215,0.89316005,0.8967568,0.19496049,0.77866226,-0.62914026
1.2988818,1.301365,0.38831356,0.29157326,0.65223163,-0.717658
0.51504016,1.3591961,0.854575,0.40080202,0.5471501,0.18070088
1.1347018,1.4014828,0.41900656,0.39085263,0.502245,-0.61429065
0.38439703,0.85335016,0.5473775,0.39232942,0.71730304,-0.21164578
0.74783933,1.5583794,1.0398192,0.24408463,0.8974639,-0.04393897
0.28341985,1.2880039,1.0778124,0.37833676,0.63722605,0.4605641
0.23115751,0.9136351,0.48495075,0.33760092,0.6227847,-0.8513168
1.7407997,1.2689776,0.9710406,0.19674216,0.72029126,0.6444748
0.51079446,1.6350058,0.44986314,0.17602059,0.7439842,-0.43938637
1.2982795,1.1994311,0.41335037,0.1474787,0.9166317,0.6324278
0.20231725,0.81609833,0.40512022,0.42298305,0.5652444,-0.5329356
0.7377474,1.1985099,1.0823383,0.33476815,0.9157496,0.018934835
1.0916662,0.83755857,0.6083524,0.3903065,0.7047212,0.26806295
0.4732037,1.6229501,0.7449812,0.43320218,0.9304887,-0.055391636
0.1387533,1.5431119,1.1321958,0.33914027,0.90930355,-0.50404567
1.1588417,1.3651475,0.9610969,0.2723103,0.54297626,0.26325178
0.7636328,1.7247332,0.8757333,0.41967562,0.94705856,-0.080452934
1.2716699,1.4960449,1.0945586,0.47452447,0.93769455,-0.89840245
0.28216952,0.87311476,0.4745706,0.12509207,0.56571025,0.27152312
0.77605164,1.7212967,0.44231328,0.12213323,0.5396359,-0.6946177
1.8788216,1.4310175,1.0048959,0.34437817,0.54933375,-0.19417602
1.0863879,0.91751623,0.947538,0.30834955,0.92211944,0.027604287
0.49999988,0.8933168,0.93433154,0.4693769,0.99454844,0.026424695
1.0243616,0.9941001,0.5499762,0.1469432,0.6434834,-0.8367691
1.2351829,1.1628714,0.80745316,0.12993476,0.63388383,-0.34783044
0.9445469,1.6327727,0.3174636,0.41680965,0.6963736,0.20580782
0.46286303,1.0867764,0.49715447,0.10594757,0.6900393,-0.18207948
0.17736244,1.5395436,1.0279583,0.47026804,0.70700634,0.072587535
