rank_v_norm,rank_a_0,rank_w_s_eff,rank_t_0,rank_alpha_gain,rank_beta_val
469,365,439,463,40,323
210,33,126,450,147,359
265,425,385,85,157,423
66,326,498,286,107,471
58,362,486,31,357,282
447,497,259,16,450,103
197,167,312,494,337,379
422,54,278,437,359,437
4,141,497,341,108,36
366,118,75,95,245,9
316,24,422,192,473,438
492,473,111,400,144,414
200,3,35,205,335,330
94,30,429,24,499,331
160,223,92,342,355,63
169,200,280,58,417,315
325,211,43,416,336,361
45,127,303,466,53,76
207,298,176,145,429,480
229,141,153,219,149,55
23,46,291,369,164,485
361,76,30,97,458,464
123,38,264,354,487,302
18,120,61,294,338,377
202,232,274,5,497,143
261,70,40,382,199,291
288,216,351,342,367,74
343,206,275,198,290,333
179,178,427,68,392,118
368,398,97,195,61,242
56,205,85,138,462,237
487,53,225,500,126,57
276,487,357,360,22,492
259,365,454,340,111,460
151,425,268,350,81,449
199,263,132,27,474,298
22,468,423,138,46,420
421,245,276,321,392,365
55,202,405,406,206,230
419,407,173,156,365,448
159,301,74,52,398,240
449,37,34,461,412,211
387,349,157,372,38,318
14,51,394,153,468,81
26,357,462,228,219,115
145,345,457,82,408,187
357,215,259,484,206,78
2,70,489,477,30,360
22,58,128,315,43,127
81,16,314,482,499,88
356,270,468,189,387,408
448,257,192,4,458,430
474,247,134,374,362,384
122,78,167,216,224,29
327,286,470,76,441,410
178,119,460,465,316,496
107,464,402,178,33,77
16,175,232,17,366,185
72,258,405,119,26,416
474,397,256,345,213,353
162,77,314,288,279,65
230,492,459,223,71,151
259,166,387,137,425,495
100,58,220,243,281,402
2,83,466,228,259,92
338,462,460,386,34,200
391,476,238,245,88,339
299,59,463,352,419,371
246,76,361,168,351,442
187,298,457,31,299,437
395,406,187,439,430,13
343,281,453,379,114,340
265,27,101,218,375,1
324,425,188,11,389,102
398,283,418,174,333,500
176,226,269,334,363,190
131,118,105,275,298,380
493,419,308,356,155,266
0,170,308,119,500,358
331,278,488,487,165,207
40,96,14,8,449,79
428,247,312,333,34,324
113,263,107,477,308,109
157,303,132,374,9,256
17,153,489,188,190,151
170,470,427,86,3,195
278,296,321,35,323,156
50,298,380,280,214,373
102,186,418,347,236,74
317,3,387,362,458,251
175,66,429,471,315,29
110,413,313,11,15,4
462,495,468,74,68,415
36,128,126,473,78,235
79,1,156,291,484,491
283,432,339,213,30,347
401,493,229,54,3,237
48,324,207,49,116,352
186,113,58,358,198,241
327,172,211,128,432,62
381,16,81,457,454,363
373,10,318,278,480,334
154,242,406,462,141,63
76,419,6,326,15,39
160,99,0,312,223,395
416,500,366,160,258,383
212,260,320,53,478,305
308,421,485,151,60,269
250,2,160,456,396,497
484,252,134,491,310,462
367,122,18,84,478,477
349,223,308,110,237,480
287,138,160,72,497,317
14,59,56,174,355,478
3,238,445,12,480,474
475,211,367,290,131,18
363,402,43,313,123,37
472,181,183,66,486,105
249,418,498,275,61,30
184,22,322,96,463,106
142,457,440,302,12,226
176,76,461,354,274,475
243,363,276,318,341,473
143,277,227,144,406,379
218,454,314,149,42,330
106,62,206,460,120,255
151,37,453,48,438,156
188,314,362,17,449,374
317,425,267,145,396,497
329,175,130,39,468,322
475,118,111,167,476,466
178,305,161,257,83,271
412,112,424,344,222,310
25,463,28,4,7,461
61,353,355,422,0,424
435,362,419,171,232,27
176,116,496,412,107,93
245,474,478,132,3,304
37,445,458,23,14,347
377,494,334,81,219,396
22,77,116,285,300,396
224,124,278,443,252,135
119,489,42,124,314,128
268,98,387,492,218,426
498,166,100,297,410,440
14,208,188,411,55,494
378,324,429,282,451,178
44,123,8,274,250,419
147,201,408,139,221,115
202,469,67,65,279,58
237,304,191,179,326,471
94,153,9,211,375,433
134,81,363,466,373,380
137,77,41,449,233,432
239,483,57,57,318,138
384,243,285,95,82,358
210,210,421,451,7,247
111,95,412,117,408,386
284,108,197,333,45,95
345,141,52,149,500,210
201,218,284,259,111,400
25,33,105,195,317,487
12,24,214,463,385,404
147,152,283,165,34,9
294,423,13,187,56,414
185,115,360,63,491,21
402,91,400,309,315,454
487,394,346,82,368,208
199,94,231,81,429,481
146,8,160,457,375,88
101,335,422,415,209,251
304,308,58,80,162,250
266,209,473,351,173,117
487,244,85,230,337,484
297,55,346,310,136,165
47,207,243,354,262,38
87,338,431,309,27,50
147,124,317,111,219,156
463,314,333,146,293,149
398,23,21,276,430,445
337,477,130,238,33,371
131,438,492,259,285,490
448,14,460,448,152,455
321,466,173,55,365,291
319,469,456,369,21,78
365,252,424,498,63,95
74,172,135,250,410,437
464,417,21,281,137,208
89,332,432,178,185,165
495,402,229,11,307,423
94,481,495,81,3,318
284,456,310,34,160,268
484,38,381,381,318,333
438,302,461,174,244,421
97,415,88,63,124,25
362,2,47,387,447,253
452,231,75,267,445,447
349,268,98,498,162,54
98,56,485,389,472,257
362,377,66,19,389,271
489,364,128,277,32,468
189,485,325,252,3,140
342,411,110,185,151,62
91,157,167,368,223,6
240,238,195,324,222,37
61,456,74,394,123,338
116,319,427,400,47,485
85,412,147,39,329,257
67,381,419,381,179,401
61,232,289,98,225,483
263,40,9,425,398,302
142,265,332,193,231,396
278,28,20,410,372,153
148,143,217,202,141,106
141,424,443,120,149,51
122,67,210,270,204,390
204,395,358,316,100,61
376,405,481,292,363,191
406,386,376,13,330,148
427,337,153,333,93,465
419,62,12,315,413,202
236,452,485,210,374,28
309,7,102,433,405,322
213,438,207,72,489,12
187,38,68,496,441,431
24,113,207,193,380,423
201,301,458,223,269,148
466,466,220,445,3,76
