param_1,param_2,param_3,param_4,param_5,param_6
0.96814764,1.4407269,0.50631523,0.25547376,0.95196044,0.9245744
1.7974963,1.7248341,0.5413579,0.23781368,0.82851034,0.9013858
0.10923862,0.9282037,0.5174614,0.48510808,0.75832796,-0.28697002
1.268129,0.8162045,0.32277265,0.23260543,0.7435194,0.5734606
1.4447898,1.6106362,0.8179428,0.26205087,0.9061934,-0.54020905
1.6832532,1.6258359,0.94090354,0.4089891,0.5426537,-0.9432814
0.16665962,1.7180486,0.58327055,0.4954405,0.69569755,-0.4411528
0.1250939,0.8948381,0.4981857,0.21938497,0.8701197,-0.099692106
0.47307763,0.8095857,0.7283714,0.32473716,0.90499216,-0.93148017
1.710482,1.4257816,0.38012698,0.39186296,0.70080155,0.047474265
0.5068359,0.8576124,0.58113766,0.19907224,0.95484954,0.6646373
0.34081954,0.835873,0.30553448,0.43957612,0.98323905,0.05793345
0.54641783,1.771007,0.8669009,0.35417908,0.677116,-0.43453515
1.1727488,1.0863159,0.59723246,0.27375638,0.83482265,0.5299548
1.1599188,1.1328,0.74716115,0.1858168,0.73319566,0.8120496
1.4425673,1.5863299,0.6585821,0.15448816,0.9734538,0.052880287
0.14061806,1.1367823,1.1189922,0.2789519,0.7760959,-0.89540255
1.9336601,1.5066694,0.33823046,0.25557026,0.57945895,0.3882388
1.33416,1.1544299,0.678651,0.3106052,0.71485496,-0.2618798
1.2906531,1.7707934,0.41361213,0.44628638,0.7044389,0.2612388
1.9246864,1.6503834,0.5010823,0.45268556,0.81588995,0.36378586
1.204237,0.8164948,0.5228512,0.345612,0.5620008,0.21438694
1.0378515,0.8038508,0.9449059,0.17465694,0.7050979,0.90883625
0.60811883,1.4670631,0.502151,0.47216064,0.88436365,-0.35825086
0.4443944,1.696275,0.8888757,0.36342344,0.98708886,0.46192002
1.6232376,1.2031589,0.7192677,0.42867345,0.5318922,-0.353238
1.9944047,1.1181059,1.1626844,0.37248147,0.58031386,-0.4315313
1.98505,1.0243707,0.79430115,0.4523967,0.9572573,-0.017368436
0.32527626,1.4004335,1.1570108,0.4547434,0.9838725,-0.29209185
0.6905729,1.0437994,0.7491962,0.35968453,0.7663243,0.43993044
0.88741523,1.2005686,0.33041257,0.23653063,0.6847775,0.6826198
0.9387966,0.9207006,0.6872798,0.10896816,0.78891486,-0.20038593
0.30741784,1.0079118,0.7768333,0.2897403,0.7006222,0.26052618
0.44239002,1.463303,0.76908433,0.24676836,0.83323133,-0.036802292
1.4096735,1.4367203,1.1034381,0.3649121,0.8250754,0.8560277
0.39190257,1.1474005,0.32531202,0.32259476,0.90093493,-0.88544774
1.4450774,1.2264329,1.122348,0.4377585,0.6329452,-0.22628641
1.7405727,1.1952133,0.6524626,0.109263614,0.8886342,-0.21239698
0.7919793,0.8333374,1.1899462,0.43579638,0.61880004,-0.85335076
0.106448166,1.011441,0.59883565,0.14199667,0.76960504,-0.5363078
0.83432305,0.8928528,0.40344578,0.2184116,0.9348083,0.38529456
1.9499651,1.0640296,0.46249312,0.36098415,0.50760627,-0.51265824
1.1613253,0.81689066,0.36098856,0.28048798,0.56887305,0.10352564
0.7174199,1.4874742,1.0605712,0.44464898,0.6253606,-0.8309784
1.4620546,1.6490555,0.5618057,0.263275,0.67205083,0.99045944
0.81598693,1.7488134,0.71885264,0.44465092,0.6984424,-0.83423054
1.9020054,1.478809,1.0834626,0.37617722,0.73556775,0.76258445
0.45816073,0.9142273,0.9230603,0.12563148,0.9236913,-0.32143366
1.78673,1.3951398,0.3576339,0.44922456,0.5464072,0.3324741
1.2624371,1.0134159,0.6858481,0.32981405,0.57350487,0.56131613
0.93992263,1.5285411,0.58789337,0.46782666,0.7450847,0.42741692
0.83719844,1.736866,1.1238235,0.19267198,0.9464957,0.81240463
0.60155505,1.3381374,0.4279269,0.16372114,0.98302466,0.22386312
0.2830348,1.4070759,0.9665215,0.493396,0.8458216,-0.50920105
1.3726407,1.2217965,0.5685276,0.2550519,0.9041363,0.88326824
1.4703528,1.5966618,0.996896,0.39220235,0.6384369,-0.6061733
0.38092887,1.6062255,0.5519797,0.37108904,0.55473584,-0.8539479
1.6517155,1.2870309,0.32197648,0.27236912,0.5966399,0.75297
0.95961905,1.5170212,0.6101737,0.20416051,0.89058065,-0.7163441
1.7388536,0.9983079,0.8235681,0.27519464,0.76051164,0.8897221
0.6442784,1.2182351,1.1937582,0.43340796,0.77869236,-0.5433109
0.24632642,1.0420996,0.7273339,0.45409375,0.91908073,-0.84816825
1.4791613,1.3210835,0.94496,0.16159049,0.6617836,-0.19030464
1.8471402,1.5046595,1.0777951,0.36459193,0.9030248,-0.24019504
1.215685,0.8371736,1.0312307,0.1792012,0.5590993,-0.9395679
1.6595957,1.0705899,0.47625372,0.106154874,0.6951752,0.34521413
1.0570558,0.9823523,0.9493074,0.3622416,0.84842384,0.26476967
1.2599205,1.6791711,0.73406136,0.23804334,0.5531783,0.5441624
1.2801592,1.44857,0.92492825,0.36839563,0.63430095,0.7783606
1.6783457,1.4876418,0.46953124,0.3101293,0.83710206,0.105739355
0.5542773,1.6465182,0.4141376,0.45057473,0.99405086,-0.2225331
0.5624661,1.3859642,0.40076703,0.4833921,0.89911354,-0.14833462
0.5271739,1.5842712,0.8446342,0.43272227,0.96146584,0.6571382
1.5038046,0.8803436,0.35411015,0.4398981,0.83257866,0.18843651
0.93232226,1.2259771,1.0835161,0.18381414,0.70600784,-0.840891
0.4313913,0.851054,0.64526296,0.26956674,0.68033075,-0.13350391
0.88121986,1.0060264,0.344775,0.48197633,0.529441,0.26076818
1.7908851,0.94451183,0.94802004,0.4834571,0.733431,0.60580075
0.5708684,1.0231947,0.33590117,0.479945,0.67104053,0.59676874
1.7485788,1.5605763,0.3272136,0.18515344,0.90894973,0.7532151
1.9128299,1.4192886,1.1321998,0.46386996,0.9878653,0.989925
1.3524655,1.5291398,0.7063998,0.20105696,0.791273,-0.98688996
1.2899017,0.81495345,0.62969726,0.12575205,0.7656864,0.8327557
0.5995433,1.7994623,1.1594965,0.26739347,0.8521703,0.39291537
0.5024426,1.6655475,0.4943312,0.12163408,0.62548244,-0.2297138
1.9127904,1.2238253,0.8010733,0.46455067,0.57307065,0.5400609
1.4014198,1.4912453,0.39986333,0.23381367,0.9670671,-0.8664899
0.7196318,1.6726109,0.30970892,0.4808459,0.7738293,0.55748355
0.39072615,1.593505,0.47493085,0.1291763,0.87774146,-0.37212276
0.9598279,1.2173762,0.6315334,0.45444396,0.5481441,0.019422174
0.21906075,0.9059371,1.0924864,0.26089716,0.9888863,0.35676527
0.18178684,0.85608876,0.43250912,0.25359747,0.80285954,0.39281654
1.621191,1.315284,0.75880075,0.27913687,0.6989716,0.52007973
1.6315352,1.6043704,0.5155389,0.451749,0.8008683,0.9299841
0.68088084,1.7436576,0.52565944,0.26963273,0.53229475,-0.06773198
0.48789498,1.4047579,1.140531,0.12684159,0.815159,0.45693707
1.8201245,1.4543645,1.1762735,0.46935233,0.85212374,-0.5594833
0.42082214,0.8487834,0.463678,0.42067388,0.9381825,-0.83586204
0.5290418,1.4558514,1.1607378,0.39481464,0.59251356,0.44031572
1.5032238,1.5735676,0.34179908,0.460262,0.8461996,0.031754732
0.61154395,1.5369344,0.82105494,0.25678104,0.6705569,0.17889512
1.967132,1.1640061,0.7164099,0.3372599,0.88295734,0.67045045
0.25532314,1.1513194,0.49240565,0.12838309,0.89903885,0.1316067
1.8192427,1.5493252,0.4978669,0.13068931,0.5005504,-0.3469273
0.16062969,1.3977275,0.70830667,0.45107636,0.654469,-0.06849694
0.10241821,1.7228132,0.48874933,0.49558708,0.78913856,-0.31349814
0.19537386,0.85177577,0.7199558,0.32399738,0.5640795,-0.10481799
1.5536226,0.8496257,0.6761088,0.49873728,0.62352276,0.028542757
1.807211,1.6629366,0.77892494,0.24612221,0.6899562,-0.4380684
1.8403659,0.84469956,0.5993489,0.13177165,0.52022004,-0.30429745
1.6124377,1.7774802,0.5930546,0.3615533,0.83860505,-0.2522558
0.5532237,1.0872377,0.3993008,0.29760125,0.6426279,-0.61518896
1.9324859,0.8376979,0.69798034,0.3704867,0.82886887,-0.20440209
0.13540635,0.85283434,0.7214018,0.33071432,0.96435905,0.21661901
0.23834398,1.2638955,0.67338014,0.43830875,0.60164475,-0.300236
0.6080033,1.1146207,0.32876885,0.12775734,0.8152553,-0.32917488
0.67671967,1.0103289,0.36605096,0.25593564,0.72031856,0.8430275
1.4098585,1.1683195,0.45871592,0.14709613,0.6316205,0.2858423
1.9174676,0.85573864,1.0426712,0.4530429,0.722098,-0.72987103
1.3374933,0.94201225,0.3453418,0.10219274,0.88903224,-0.093699574
1.8860956,1.7133316,0.573228,0.27388352,0.64514196,0.23922288
0.6233797,1.7399793,1.139256,0.37071386,0.51062655,0.7637081
1.5691506,1.6029091,0.8329085,0.43080157,0.8459165,0.82656693
1.8507743,1.1145278,0.74559414,0.49517465,0.74707836,0.501086
1.6478163,1.6942434,0.9425889,0.37353465,0.80512375,0.8101816
1.6824445,1.3518281,1.1722193,0.3947417,0.99257326,-0.5611656
1.2423513,1.564982,0.39325097,0.35928524,0.895041,0.09239972
1.2533405,1.3840995,1.0406544,0.48285893,0.70563096,0.01130867
0.506225,1.737786,1.1867714,0.19239777,0.6886914,-0.99974
0.21195576,0.83173746,0.45292193,0.35498318,0.59357715,0.71574223
0.7263375,0.95867264,1.146683,0.28750405,0.8012754,-0.14719462
0.90503734,0.95099366,0.92248845,0.41947666,0.6641214,-0.33540082
0.6302463,1.4003973,0.8946226,0.1905303,0.5735457,-0.9987873
0.815266,1.1468247,0.91628635,0.3610169,0.85562456,0.73210895
0.8770216,1.7246203,0.8765998,0.40986434,0.8037292,0.20487368
1.8605413,1.4809083,1.1300614,0.22804013,0.84408176,0.37930882
0.37295943,0.8753185,1.1305108,0.20643082,0.91828406,0.33947635
0.48215997,1.1033491,0.9900421,0.14877343,0.88531744,-0.5211539
1.3555582,1.4186232,0.39602026,0.19411433,0.859781,0.7544471
