rank_v_norm,rank_a_0,rank_w_s_eff,rank_t_0,rank_alpha_gain,rank_beta_val
313,398,47,9,169,363
217,206,26,367,379,288
401,279,366,266,302,21
416,169,336,476,155,267
145,280,278,417,47,15
259,348,138,260,373,334
473,426,236,350,79,140
263,458,38,345,138,409
279,243,356,64,350,187
229,316,0,360,62,287
404,240,297,227,258,276
43,296,49,275,123,185
56,173,246,303,127,9
281,60,15,490,355,308
464,102,345,409,346,351
95,296,351,249,157,439
174,146,265,389,230,324
344,134,214,380,359,455
119,463,100,417,49,65
298,496,426,188,44,125
172,201,313,225,230,308
427,287,281,246,370,236
398,452,114,59,407,351
395,471,365,129,86,414
85,19,350,353,316,115
465,396,7,5,183,18
239,54,259,468,362,216
103,372,407,289,247,463
347,437,331,32,281,125
20,415,457,289,211,5
456,471,365,57,341,137
176,290,341,427,97,232
40,35,445,410,428,241
51,26,383,284,463,382
186,110,180,432,231,370
4,23,465,434,217,142
489,310,107,338,276,435
393,16,46,470,410,414
101,235,294,236,163,137
256,57,224,412,135,345
145,121,166,401,120,158
27,300,382,42,429,132
305,237,172,172,456,394
7,106,301,404,221,470
21,426,143,131,245,43
133,289,361,363,32,304
414,210,258,73,472,338
81,418,0,38,319,161
255,177,131,415,89,119
91,142,231,247,251,160
346,111,477,310,44,196
486,360,73,416,18,65
489,117,253,346,409,391
24,191,0,217,196,94
98,381,259,406,58,481
421,337,331,353,341,49
106,488,134,26,33,133
425,417,73,39,476,256
199,280,90,135,133,365
15,134,345,388,121,460
225,95,145,214,454,393
290,406,245,299,11,348
72,78,94,436,250,113
412,369,222,85,74,30
80,290,324,227,77,443
356,320,192,466,78,155
109,326,178,216,283,496
165,428,257,392,127,474
433,123,286,48,452,491
332,395,5,356,176,431
32,222,487,375,93,13
240,341,375,24,471,223
482,187,253,469,313,309
410,486,424,64,59,304
360,41,228,379,93,26
456,193,252,103,375,343
325,331,252,329,446,311
422,119,138,124,362,350
480,186,197,89,427,276
83,363,36,32,431,304
52,448,406,280,73,37
192,322,218,458,20,352
456,498,171,146,6,353
281,363,221,218,135,208
130,464,84,104,324,114
266,5,207,444,483,173
104,73,37,329,202,43
103,219,448,187,316,377
68,147,263,157,230,408
54,450,181,497,22,475
426,222,499,326,35,308
381,62,7,450,204,196
334,60,26,483,368,456
381,162,38,315,356,351
409,493,284,238,55,163
317,335,123,197,364,497
214,132,203,165,393,174
410,205,9,157,386,268
483,137,285,346,482,130
194,230,227,14,343,259
451,34,164,451,185,337
174,60,234,422,365,263
127,118,295,246,443,103
31,137,113,338,256,106
433,364,211,153,22,372
232,328,206,130,305,21
4,70,67,47,461,227
171,214,202,208,473,324
377,132,211,360,152,42
198,53,141,53,417,243
414,25,264,321,433,4
384,28,459,485,172,330
49,157,26,32,377,453
140,339,119,261,293,188
373,297,238,259,59,321
490,347,390,313,51,110
11,170,371,341,310,192
171,192,269,420,123,36
143,260,480,148,50,171
299,273,471,13,449,174
256,166,220,144,166,380
217,135,128,487,216,283
139,139,7,391,376,184
126,271,350,31,488,428
246,377,21,279,103,379
150,391,100,282,32,176
296,292,247,185,481,367
197,75,299,481,85,152
36,56,219,251,401,299
89,199,454,472,144,407
393,390,258,346,14,146
183,500,339,295,40,177
269,482,109,61,278,319
251,50,179,356,303,362
134,311,494,32,280,310
480,372,409,399,232,278
128,147,458,284,105,476
344,283,426,355,153,55
411,387,499,13,441,184
16,349,396,74,356,268
246,197,171,462,174,8
371,344,193,374,23,112
405,183,324,235,387,6
292,473,386,13,213,374
455,96,215,419,171,336
347,65,144,491,429,270
483,36,386,483,140,184
156,371,111,260,385,285
439,467,404,62,4,177
434,224,156,189,270,172
476,460,253,3,67,292
367,321,369,213,427,273
424,111,433,282,323,234
401,484,369,6,158,260
382,344,340,487,14,199
275,354,223,48,331,68
375,240,363,381,428,167
249,221,49,363,288,222
10,159,173,446,282,120
5,36,254,236,309,438
0,286,417,97,345,369
129,495,86,416,0,202
400,268,171,472,82,436
189,419,442,90,138,362
171,1,407,487,349,454
177,44,24,411,172,458
189,334,35,15,496,155
343,69,94,126,347,162
235,185,500,288,328,374
499,449,209,103,347,463
375,213,449,335,201,417
422,206,196,194,279,432
117,432,419,147,111,472
391,45,12,478,200,331
173,133,441,408,203,209
329,187,266,293,183,147
291,273,307,326,122,95
195,326,498,353,173,108
127,368,70,124,145,493
455,156,310,257,335,253
294,376,195,2,286,84
255,460,216,133,352,59
308,467,211,345,20,50
215,183,221,223,376,11
295,451,299,294,7,105
437,419,119,35,243,20
473,19,125,286,208,381
444,239,341,469,157,145
435,493,428,27,20,378
484,369,73,379,65,456
98,108,1,473,32,114
184,94,476,339,389,242
289,321,227,56,389,314
216,457,24,435,41,199
400,479,498,103,86,130
479,486,52,14,386,14
359,159,79,427,162,0
213,178,128,34,436,38
90,138,72,342,218,201
302,353,144,91,242,388
126,357,494,321,143,87
157,63,157,409,104,319
149,16,108,472,462,448
432,26,279,378,401,107
485,141,124,465,99,299
159,324,402,335,46,68
362,138,226,282,304,499
365,385,166,297,39,500
227,201,219,435,59,77
162,489,280,7,183,494
125,303,193,413,95,53
443,274,191,101,380,23
430,177,451,308,373,157
74,74,90,123,395,89
461,16,104,446,437,460
225,328,73,47,272,93
220,286,136,249,437,261
443,368,27,167,305,49
190,446,217,124,435,370
400,27,57,291,473,50
245,397,350,186,153,409
38,307,204,340,33,248
408,466,2,341,229,48
405,418,337,171,6,457
353,453,126,221,221,62
137,329,233,63,386,81
250,351,484,129,98,88
198,1,191,494,488,383
286,48,14,416,126,55
268,64,147,351,275,72
343,410,96,326,30,157
229,47,262,329,296,229
466,455,371,404,88,84
14,23,71,450,333,89
125,359,445,309,4,181
30,289,356,147,376,440
428,360,200,85,369,77
295,427,375,40,54,53
262,493,297,16,21,76
304,374,237,310,251,266
44,217,213,21,290,65
229,180,359,280,112,208
469,167,282,478,306,235
459,382,449,328,139,124
88,236,379,438,120,268
1,396,171,118,332,248
368,169,472,458,25,389
383,29,260,264,473,476
239,334,325,375,136,199
480,17,188,498,270,488
413,120,105,98,468,204
267,240,266,351,86,454
230,128,263,494,51,388
331,56,271,499,76,15
322,500,486,72,11,276
406,373,5,283,109,225
94,33,30,462,217,72
362,317,406,318,122,86
358,276,122,378,267,386
235,109,231,324,168,114
238,426,361,98,40,268
267,179,259,251,397,314
50,450,379,2,266,281
497,476,27,400,41,87
441,461,154,356,23,461
121,323,16,494,14,155
471,482,222,27,3,194
344,0,129,306,455,179
2,148,23,238,190,29
337,442,116,118,9,317
75,387,245,185,214,162
479,234,124,355,0,10
112,451,478,100,35,345
424,397,111,127,279,104
180,54,286,373,369,398
86,420,79,27,270,290
376,169,26,362,356,42
55,135,68,460,179,17
190,291,13,329,272,341
276,24,20,448,226,393
244,355,474,442,11,201
87,71,77,377,428,345
1,256,21,110,420,266
388,469,71,74,76,491
287,149,44,497,31,197
57,227,142,480,128,379
86,339,250,10,278,81
456,322,483,352,55,209
369,342,105,496,95,185
491,206,293,115,342,193
73,211,357,231,433,51
212,35,166,358,320,345
60,78,199,396,166,494
471,310,221,264,157,15
30,168,372,489,222,303
172,500,336,4,133,1
148,24,245,317,496,438
219,412,353,236,190,145
439,395,426,124,256,445
52,362,345,483,0,438
