v_norm,a_0,w_s_eff,t_0,alpha_gain,beta_val
0.8337956,1.1546963,0.8897252,0.37466145,0.83971417,0.299846
0.41209713,1.2302333,0.81441665,0.24522296,0.7924467,-0.2579224
0.83006155,1.5544473,0.8071936,0.20166357,0.7745254,0.18962328
0.7952546,1.5221736,0.81063634,0.18308637,0.74944293,-0.052848935
0.8334354,1.3659527,0.92691565,0.2654161,0.7745821,-0.31724447
0.92397934,1.0427185,0.8394007,0.2348666,0.70960325,-0.2724489
0.74014837,1.5746675,0.83584714,0.12139259,0.7042834,-0.28793305
0.67063373,1.175261,1.1198239,0.32228756,0.7451087,0.14976004
0.44862664,1.8151573,0.99434423,0.29630178,0.8590504,0.46103373
0.52581173,1.3999983,0.8652936,0.4372059,0.7430278,-0.29841933
0.4188153,1.6236229,0.96519995,0.35223982,0.7934183,-0.3446843
0.5483238,1.1997637,0.70267755,0.38599083,0.7781795,-0.33372813
0.6617351,1.4214298,0.54651374,0.36796817,0.86721367,0.3196507
0.5069705,1.6867175,0.54300416,0.3710264,0.66076183,0.16354834
0.7455921,1.5101055,0.85726494,0.4311507,0.6580001,-0.14140834
0.37041345,1.5833738,0.9500523,0.4135154,0.77139175,0.30712128
0.67240435,1.3618163,0.669257,0.32599786,0.7349988,-0.10616832
0.5064744,1.1831635,0.91631734,0.4356695,0.76677805,-0.09646
0.7787226,1.3971357,0.96866024,0.4950261,0.8533451,0.18784295
0.55619025,1.4194547,1.1843688,0.37653777,0.86508805,0.1359786
0.91494596,1.3696971,0.8728075,0.4497768,0.71905917,0.13804209
0.83678544,1.2259312,0.8534648,0.30960384,0.6594918,-0.06879126
0.5561618,1.2618586,0.6214216,0.3484375,0.83765656,-0.11274726
0.89064765,1.4369959,0.74386036,0.36231434,0.86703485,0.029519225
0.80013025,1.6156545,0.9473573,0.36515242,0.7120577,-0.3420355
0.78430665,1.1303512,0.9676396,0.46653163,0.73544383,0.2507338
0.34157193,1.8909807,0.9563853,0.34901348,0.60479796,-0.31218457
0.42271084,1.7699414,0.83039343,0.28676805,0.781446,0.3585725
0.7410538,1.1416883,0.9559285,0.33685666,0.71661913,0.4102673
0.39966515,1.3734323,0.6529887,0.22590223,0.71327364,-0.48270643
0.45601317,1.187602,0.9289632,0.38902736,0.78034735,0.0656481
0.6141701,1.4521369,0.72472847,0.33962867,0.79388434,-0.29151362
0.5841169,1.4571904,0.83843154,0.36779377,0.77667606,0.19074532
0.88785285,1.0148404,0.96450543,0.2553607,0.72614056,-0.45157918
0.46194002,1.9134623,0.9894005,0.28321305,0.7081221,-0.0677013
0.58973116,1.4687678,0.6601279,0.26523134,0.87001586,0.18724613
0.7175775,1.4075474,0.7393581,0.20107171,0.72129583,0.20646237
0.9636892,1.5962307,1.1087953,0.45660648,0.8391858,0.077632286
0.44013116,1.6638693,1.0052804,0.1228073,0.63487107,0.13610154
0.8161116,1.8059628,0.8096666,0.36752072,0.64541966,0.10292686
0.5721191,1.7724354,0.7358019,0.45047334,0.8653237,-0.17017768
0.6124585,1.3913432,0.9708976,0.4437879,0.6471659,-0.37273234
0.7831717,1.4065812,0.6215043,0.24224904,0.72977906,-0.040481675
0.59797597,1.4000455,0.5673823,0.291429,0.79431,-0.09034806
0.874486,1.3201925,0.82506627,0.3347464,0.7912437,0.15440178
0.8079605,1.4320799,0.75705063,0.18332955,0.7045218,-0.091748886
0.86398876,1.1932391,0.9433933,0.24448983,0.77107614,0.29347324
0.63436353,1.6203015,1.0805498,0.45619315,0.65757924,0.19627787
0.5649317,1.9182802,1.1122854,0.26772606,0.7537644,0.27462304
0.7747023,1.195377,0.9651793,0.45856416,0.71395576,0.13110596
0.7651427,1.6077784,0.9374601,0.49637547,0.80448186,-0.32077911
0.60606265,1.5321325,0.9783214,0.3532462,0.7348248,0.48779935
0.56765175,1.6486214,0.90036607,0.29288214,0.8197136,-0.28130877
